solution, number of guesses
cigar,3
rebut,3
sissy,3
humph,3
awake,4
blush,4
focal,3
evade,4
naval,4
serve,3
heath,3
dwarf,4
model,3
karma,4
stink,3
grade,4
quiet,3
bench,3
abate,3
feign,4
major,3
death,3
fresh,4
crust,3
stool,4
colon,4
abase,4
marry,4
react,2
batty,4
pride,4
floss,3
helix,3
croak,3
staff,4
paper,4
unfed,4
whelp,4
trawl,4
outdo,3
adobe,3
crazy,4
sower,3
repay,3
digit,4
crate,3
cluck,4
spike,4
mimic,4
pound,4
maxim,4
linen,3
unmet,4
flesh,3
booby,4
forth,3
first,3
stand,3
belly,4
ivory,4
seedy,3
print,3
yearn,3
drain,3
bribe,4
stout,3
panel,3
crass,3
flume,3
offal,4
agree,3
error,3
swirl,3
argue,3
bleed,4
delta,2
flick,3
totem,3
wooer,3
front,3
shrub,4
parry,4
biome,3
lapel,4
start,3
greet,4
goner,4
golem,3
lusty,4
loopy,4
round,3
audit,4
lying,3
gamma,4
labor,4
islet,3
civic,4
forge,3
corny,3
moult,3
basic,3
salad,4
agate,4
spicy,4
spray,3
essay,4
fjord,4
spend,3
kebab,3
guild,4
aback,4
motor,3
alone,3
hatch,4
hyper,4
thumb,3
dowry,3
ought,3
belch,4
dutch,4
pilot,3
tweed,3
comet,3
jaunt,5
enema,4
steed,3
abyss,4
growl,4
fling,4
dozen,3
boozy,4
erode,4
world,3
gouge,3
click,4
briar,4
great,4
altar,3
pulpy,4
blurt,4
coast,3
duchy,4
groin,3
fixer,4
group,4
rogue,3
badly,4
smart,3
pithy,4
gaudy,4
chill,4
heron,3
vodka,3
finer,4
surer,4
radio,3
rouge,3
perch,4
retch,3
wrote,2
clock,4
tilde,3
store,3
prove,3
bring,3
solve,3
cheat,4
grime,3
exult,4
usher,3
epoch,3
triad,3
break,3
rhino,3
viral,4
conic,4
masse,3
sonic,4
vital,3
trace,3
using,3
peach,3
champ,3
baton,3
brake,4
pluck,5
craze,4
gripe,3
weary,3
picky,4
acute,3
ferry,4
aside,3
tapir,3
troll,3
unify,4
rebus,4
boost,3
truss,3
siege,3
tiger,4
banal,4
slump,3
crank,4
gorge,3
query,4
drink,3
favor,4
abbey,3
tangy,3
panic,4
solar,3
shire,3
proxy,4
point,3
robot,3
prick,4
wince,4
crimp,4
knoll,3
sugar,3
whack,4
mount,3
perky,4
could,3
wrung,4
light,4
those,3
moist,3
shard,3
pleat,3
aloft,3
skill,4
elder,3
frame,4
humor,4
pause,4
ulcer,4
ultra,3
robin,3
cynic,3
agora,4
aroma,3
caulk,4
shake,4
pupal,4
dodge,3
swill,4
tacit,3
other,3
thorn,3
trove,3
bloke,3
vivid,4
spill,4
chant,3
choke,3
rupee,3
nasty,3
mourn,3
ahead,4
brine,4
cloth,3
hoard,2
sweet,4
month,3
lapse,4
watch,4
today,3
focus,3
smelt,4
tease,3
cater,4
movie,3
lynch,3
saute,3
allow,4
renew,3
their,4
slosh,3
purge,3
chest,4
depot,3
epoxy,4
nymph,3
found,5
shall,4
harry,4
stove,3
lowly,4
snout,3
trope,3
fewer,5
shawl,4
natal,3
fibre,3
comma,3
foray,3
scare,3
stair,3
black,4
squad,4
royal,2
chunk,4
mince,4
slave,3
shame,3
cheek,3
ample,3
flair,4
foyer,4
cargo,3
oxide,4
plant,3
olive,3
inert,3
askew,4
heist,3
shown,3
zesty,3
hasty,3
trash,3
fella,3
larva,4
forgo,3
story,4
hairy,4
train,4
homer,3
badge,4
midst,4
canny,4
fetus,4
butch,4
farce,3
slung,4
tipsy,3
metal,3
yield,4
delve,4
being,4
scour,4
glass,3
gamer,4
scrap,3
money,4
hinge,4
album,4
vouch,4
asset,3
tiara,3
crept,4
bayou,3
atoll,3
manor,3
creak,4
showy,4
phase,3
froth,2
depth,3
gloom,4
flood,4
trait,4
girth,3
piety,3
payer,4
goose,4
float,3
donor,3
atone,2
primo,3
apron,3
blown,4
cacao,4
loser,4
input,4
gloat,4
awful,4
brink,4
smite,3
beady,3
rusty,2
retro,2
droll,4
gawky,4
hutch,4
pinto,3
gaily,3
egret,4
lilac,3
sever,4
field,4
fluff,4
hydro,3
flack,4
agape,3
wench,4
voice,4
stead,4
stalk,3
berth,2
madam,4
night,3
bland,4
liver,3
wedge,4
augur,4
roomy,3
wacky,4
flock,4
angry,3
bobby,4
trite,3
aphid,4
tryst,3
midge,3
power,4
elope,4
cinch,4
motto,3
stomp,3
upset,4
bluff,4
cramp,4
quart,3
coyly,4
youth,3
rhyme,3
buggy,4
alien,3
smear,3
unfit,4
patty,3
cling,4
glean,3
label,4
hunky,4
khaki,3
poker,3
gruel,4
twice,3
twang,4
shrug,4
treat,3
unlit,4
waste,4
merit,3
woven,4
octal,3
needy,4
clown,4
widow,4
irony,3
ruder,3
gauze,3
chief,3
onset,3
prize,4
fungi,4
charm,4
gully,4
inter,3
whoop,3
taunt,4
leery,4
class,4
theme,3
lofty,3
tibia,3
booze,4
alpha,4
thyme,4
eclat,3
doubt,4
parer,5
chute,3
stick,4
trice,3
alike,4
sooth,3
recap,3
saint,4
liege,3
glory,3
grate,3
admit,4
brisk,3
soggy,4
usurp,3
scald,4
scorn,4
leave,3
twine,3
sting,4
bough,3
marsh,3
sloth,3
dandy,4
vigor,4
howdy,4
enjoy,3
valid,3
ionic,4
equal,3
unset,4
floor,4
catch,3
spade,4
stein,3
exist,4
quirk,3
denim,4
grove,4
spiel,3
mummy,4
fault,4
foggy,4
flout,4
carry,3
sneak,3
libel,3
waltz,3
aptly,4
piney,3
inept,4
aloud,4
photo,3
dream,3
stale,3
vomit,3
ombre,3
fanny,4
unite,3
snarl,4
baker,3
there,3
glyph,3
pooch,4
hippy,4
spell,4
folly,5
louse,3
gulch,3
vault,4
godly,3
threw,4
fleet,3
grave,4
inane,4
shock,4
crave,4
spite,3
valve,4
skimp,3
claim,3
rainy,3
musty,4
pique,4
daddy,4
quasi,3
arise,3
aging,4
valet,3
opium,4
avert,4
stuck,4
recut,3
mulch,3
genre,4
plume,4
rifle,3
count,3
incur,4
total,3
wrest,3
mocha,3
deter,4
study,4
lover,4
safer,3
rivet,3
funny,4
smoke,3
mound,4
undue,4
sedan,3
pagan,3
swine,4
guile,3
gusty,4
equip,4
tough,4
canoe,3
chaos,2
covet,3
human,4
udder,4
lunch,4
blast,3
stray,3
manga,3
melee,4
lefty,3
quick,4
paste,4
given,4
octet,3
risen,3
groan,4
leaky,3
grind,4
carve,4
loose,4
sadly,4
spilt,4
apple,4
slack,3
honey,4
final,3
sheen,4
eerie,4
minty,3
slick,4
derby,4
wharf,4
spelt,4
coach,3
erupt,3
singe,3
price,4
spawn,4
fairy,4
jiffy,4
filmy,3
stack,3
chose,3
sleep,3
ardor,4
nanny,5
niece,4
woozy,4
handy,4
grace,3
ditto,3
stank,3
cream,4
usual,4
diode,4
valor,4
angle,4
ninja,4
muddy,4
chase,4
reply,3
prone,3
spoil,3
heart,2
shade,4
diner,4
arson,4
onion,4
sleet,3
dowel,3
couch,4
palsy,4
bowel,3
smile,3
evoke,3
creek,5
lance,4
eagle,4
idiot,4
siren,3
built,4
embed,4
award,4
dross,4
annul,4
goody,4
frown,4
patio,3
laden,4
humid,4
elite,3
lymph,3
edify,4
might,4
reset,3
visit,4
gusto,3
purse,3
vapor,4
crock,4
write,3
sunny,3
loath,2
chaff,4
slide,4
queer,4
venom,3
stamp,4
sorry,4
still,4
acorn,3
aping,4
pushy,4
tamer,4
hater,3
mania,4
awoke,3
brawn,4
swift,4
exile,3
birch,4
lucky,5
freer,5
risky,3
ghost,3
plier,3
lunar,4
winch,4
snare,4
nurse,4
house,3
borax,3
nicer,4
lurch,3
exalt,3
about,3
savvy,4
toxin,3
tunic,3
pried,4
inlay,3
chump,3
lanky,3
cress,4
eater,4
elude,4
cycle,4
kitty,4
boule,3
moron,3
tenet,4
place,3
lobby,3
plush,4
vigil,4
index,3
blink,4
clung,4
qualm,3
croup,4
clink,4
juicy,4
stage,3
decay,4
nerve,4
flier,4
shaft,4
crook,4
clean,3
china,4
ridge,3
vowel,4
gnome,4
snuck,4
icing,4
spiny,4
rigor,3
snail,3
flown,4
rabid,3
prose,3
thank,3
poppy,4
budge,4
fiber,5
moldy,3
dowdy,4
kneel,3
track,3
caddy,4
quell,4
dumpy,4
paler,3
swore,3
rebar,3
scuba,4
splat,4
flyer,4
horny,3
mason,3
doing,3
ozone,4
amply,4
molar,3
ovary,2
beset,4
queue,4
cliff,4
magic,4
truce,3
sport,3
fritz,3
edict,3
twirl,3
verse,4
llama,4
eaten,4
range,2
whisk,4
hovel,4
rehab,4
macaw,4
sigma,3
spout,3
verve,4
sushi,3
dying,3
fetid,3
brain,4
buddy,4
thump,4
scion,3
candy,4
chord,4
basin,3
march,3
crowd,4
arbor,4
gayly,4
musky,3
stain,3
dally,4
bless,4
bravo,3
stung,3
title,4
ruler,3
kiosk,3
blond,4
ennui,4
layer,4
fluid,3
tatty,5
score,4
cutie,3
zebra,3
barge,3
matey,4
bluer,4
aider,4
shook,4
river,4
privy,4
betel,4
frisk,4
bongo,3
begun,3
azure,3
weave,4
genie,4
sound,4
glove,4
braid,3
scope,3
wryly,4
rover,3
assay,4
ocean,3
bloom,4
irate,3
later,3
woken,4
silky,3
wreck,4
dwelt,3
slate,3
smack,4
solid,3
amaze,3
hazel,4
wrist,4
jolly,5
globe,4
flint,3
rouse,3
civil,4
vista,3
relax,3
cover,4
alive,4
beech,4
jetty,3
bliss,3
vocal,4
often,3
dolly,4
eight,3
joker,4
since,3
event,4
ensue,3
shunt,2
diver,4
poser,4
worst,3
sweep,4
alley,3
creed,4
anime,3
leafy,4
bosom,4
dunce,4
stare,3
pudgy,4
waive,4
choir,4
stood,4
spoke,4
outgo,4
delay,3
bilge,4
ideal,4
clasp,4
seize,4
hotly,4
laugh,3
sieve,3
block,4
meant,3
grape,4
noose,4
hardy,4
shied,3
drawl,4
daisy,3
putty,3
strut,3
burnt,3
tulip,3
crick,4
idyll,3
vixen,4
furor,4
geeky,4
cough,4
naive,4
shoal,3
stork,4
bathe,3
aunty,3
check,4
prime,3
brass,3
